rank,stop_loss_pct,position_size,take_profit_pct,volume_spike_factor,wf_mean_profit_pct,wf_std_profit_pct,wf_positive_windows,wf_profits_list
1,0.002,0.02,0.02,1.2,0.16473262241779593,0.405394310942364,2,0.014526;-0.239325;0.718997
2,0.02,0.02,0.01,1.2,0.0843427433816904,0.31387165328687666,2,0.119012;-0.316230;0.450246
3,0.002,0.02,0.02,1.4,0.03838402340431534,0.2166981619976749,2,0.014526;-0.214281;0.314908
4,0.005,0.01,0.02,1.2,0.0575412878884663,0.20143325924356328,1,-0.027664;-0.135267;0.335554
5,0.002,0.02,0.02,1.6,0.04065895298014084,0.21132262049693423,2,0.033073;-0.214281;0.303185
6,0.02,0.01,0.01,1.2,0.042183828562849614,0.15699454935862087,2,0.059512;-0.158172;0.225211
7,0.01,0.01,0.01,1.2,0.06513901257868232,0.21043400196800474,2,0.021566;-0.168025;0.341876
8,0.005,0.02,0.02,1.6,0.0294209793120217,0.24348867881855948,2,0.001956;-0.254108;0.340415
9,0.002,0.01,0.02,1.4,0.019208980793602372,0.1083615873838789,2,0.007274;-0.107136;0.157488
10,0.005,0.005,0.02,1.2,0.028750561283432795,0.1006930127321295,1,-0.013829;-0.067641;0.167722
